Date,Open,High,Low,Close,Volume
1998-09-04,1646.75,1655.19,1475.49,1566.52,1144105008
1998-09-11,1566.52,1680.71,1566.52,1641.64,736284992
1998-09-18,1660.31,1693.8,1637.05,1663.77,849795008
1998-09-25,1630.11,1768.36,1615.33,1743.59,937735024
1998-10-02,1757.9,1769.71,1569.06,1614.98,986140000
1998-10-09,1591.17,1614.98,1343.87,1492.49,1201732528
1998-10-16,1528.49,1634.74,1492.49,1620.95,999292480
1998-10-23,1618.14,1710.65,1613.85,1693.86,1120102512
1998-10-30,1706.18,1781.63,1693.86,1771.39,1096237504
1998-11-06,1783.71,1857.95,1771.4,1856.56,1171290000
1998-11-13,1857.65,1892.54,1842.52,1847.99,1075050000
1998-11-20,1868.44,1936.1,1844.07,1928.21,1082364992
1998-11-27,1937.82,2016.52,1928.2,2016.44,819079984
1998-12-04,2023.66,2025.04,1924.15,2003.16,1261507504
1998-12-11,2009.98,2060.98,2004.99,2029.31,1059850000
1998-12-18,2013.43,2086.14,1962.06,2086.14,1010814976
1998-12-25,2107.24,2172.57,2104.19,2163.04,818510000
1999-01-01,2178.24,2200.63,2160.93,2192.69,894865008
1999-01-08,2207.54,2369.55,2192.68,2344.41,1406312496
1999-01-15,2373.97,2396.3,2205.69,2348.2,1364282496
1999-01-22,2390.93,2474.38,2303.82,2338.88,1109267472
1999-01-29,2363.48,2506.68,2328.74,2505.89,1251652496
1999-02-05,2522.38,2533.44,2346.82,2373.62,1272690016
1999-02-12,2405.31,2414.98,2289.9,2321.89,1126624976
1999-02-19,2361.22,2368.41,2224.21,2283.6,848852512
1999-02-26,2293.33,2405.29,2275.6,2288.03,1111645008
1999-03-05,2286.83,2339.21,2235.19,2337.11,1069457504
1999-03-12,2357.32,2437.39,2353.74,2381.53,1223077504
1999-03-19,2392.54,2480.63,2375.83,2421.27,1168830000
1999-03-26,2428.39,2445.72,2305.64,2419.17,1119337488
1999-04-02,2442.59,2520.63,2419.17,2493.37,930547504
1999-04-09,2523.98,2599.2,2511.39,2593.05,1400480000
1999-04-16,2530.99,2632.51,2443.02,2484.04,1540562480
1999-04-23,2501.71,2603.1,2329.87,2590.69,1407535008
1999-04-30,2617.09,2677.76,2488.4,2542.86,1295852496
1999-05-07,2546.33,2557.21,2430.65,2503.62,1150789984
1999-05-14,2516.84,2632.74,2500.74,2527.86,1206057488
1999-05-21,2517.26,2587.33,2494.51,2520.14,1127057488
1999-05-28,2529.3,2529.3,2339.12,2470.52,1145942512
1999-06-04,2467.51,2478.34,2364.59,2478.34,836065008
1999-06-11,2490.83,2534.48,2442.87,2447.88,1028934992
1999-06-18,2453.23,2564.44,2397.12,2563.44,1142377520
1999-06-25,2578.2,2642.36,2542.36,2552.65,1134082480
1999-07-02,2568.47,2741.02,2554.95,2741.02,1246315024
1999-07-09,2760.01,2793.26,2724.37,2793.07,1036232512
1999-07-16,2805.08,2871.9,2755.84,2864.48,1305032512
1999-07-23,2874.61,2874.92,2668.43,2692.4,1251745008
1999-07-30,2656.3,2709.76,2619.08,2638.49,1150127504
1999-08-06,2638.31,2670.81,2474.41,2547.97,1178182512
1999-08-13,2562.05,2637.82,2442.22,2637.81,1122222496
1999-08-20,2644.67,2683.15,2612.28,2648.33,1097167488
1999-08-27,2670.7,2819.9,2648.33,2758.9,1222472512
1999-09-03,2763.83,2843.11,2671.67,2843.11,1108107488
1999-09-10,2840.12,2897.53,2806.6,2887.06,1019145008
1999-09-17,2879.78,2888.9,2756.03,2869.62,1255464992
1999-09-24,2877.53,2890.72,2684.7,2740.41,1297940016
1999-10-01,2781.42,2794.16,2694.74,2736.85,1337749984
1999-10-08,2751.54,2886.59,2747.69,2886.57,1382472512
1999-10-15,2890.73,2923.32,2704.28,2731.83,1243074992
1999-10-22,2726.3,2843.6,2632.01,2816.52,1360669984
1999-10-29,2813.29,2978.63,2768.87,2966.43,1441622496
1999-11-05,2970.93,3118.06,2967.63,3102.29,1593650016
1999-11-12,3072.04,3222.99,3068.86,3221.15,1749095008
1999-11-19,3230.26,3373,3214.58,3369.25,1859560000
1999-11-26,3399.06,3469.35,3320.67,3447.81,1213100000
1999-12-03,3458.13,3553.56,3321.57,3520.63,1880992480
1999-12-10,3531.24,3647.55,3507.72,3620.24,1999015040
1999-12-17,3624.67,3796.8,3503.7,3753.06,1957645024
1999-12-24,3782.06,4001.63,3747.79,3969.44,1389420000
1999-12-31,4001.9,4090.61,3902.35,4069.31,1355087488
2000-01-07,4186.19,4192.19,3711.09,3882.62,1997707520
2000-01-14,4002.23,4091.95,3834.53,4064.27,2011417504
2000-01-21,4059.65,4238,4053.21,4235.4,1753104992
2000-01-28,4290.38,4303.15,3856.23,3887.07,2216127488
2000-02-04,3873.84,4294.84,3748.03,4244.14,1976882464
2000-02-11,4274.03,4489.79,4244.74,4395.45,2231122496
2000-02-18,4434.38,4564.45,4291.1,4411.74,2249690048
2000-02-25,4432.83,4662.93,4291.01,4590.5,1858660032
2000-03-03,4575.07,4914.79,4466.42,4914.79,2598215008
2000-03-10,4935.65,5132.52,4722.14,5048.62,2547775040
2000-03-17,4879.03,5027.73,4455.1,4798.13,2346232480
2000-03-24,4812.14,5078.86,4467.53,4963.03,2116452480
2000-03-31,4994.42,5022.23,4355.69,4572.83,2163174976
2000-04-07,4494.89,4572.84,3649.11,4446.45,2471650016
2000-04-14,4475.2,4475.2,3265.98,3321.29,2388475040
2000-04-21,3232.94,3851.56,3227.04,3643.88,1954637472
2000-04-28,3466.69,3873.85,3345.25,3860.66,1972229984
2000-05-05,3930.18,3982.38,3592.79,3816.82,1725960032
2000-05-12,3758.46,3765.22,3367.06,3529.06,1691967488
2000-05-19,3533.21,3729.12,3381.73,3390.4,1626000032
2000-05-26,3390.95,3390.95,3042.66,3205.11,1916295008
2000-06-02,3286.54,3814.5,3286.54,3813.38,1618635008
2000-06-09,3773.24,3893.67,3725.87,3874.84,1789552512
2000-06-16,3892.05,3892.05,3695.35,3860.56,1751977504
2000-06-23,3818.65,4073.73,3818.65,3845.34,1908080000
2000-06-30,3884.65,3974.48,3838.85,3966.11,2017622496
2000-07-07,3950.59,4054.05,3820.34,4023.2,1228092480
2000-07-14,3993.62,4252.22,3936.75,4246.18,2111650016
2000-07-21,4243.55,4289.06,4047.43,4094.45,1949399968
2000-07-28,4109.65,4125.8,3642.28,3663,2061740032
2000-08-04,3692.43,3846.98,3521.14,3787.36,1899642496
2000-08-11,3819.38,3936.46,3686.86,3789.47,1745462528
2000-08-18,3804.69,3980.26,3767.37,3930.34,1718837504
2000-08-25,3966.23,4083.12,3902.11,4042.68,1744270016
2000-09-01,4049.18,4259.87,4048.01,4234.33,1943897504
2000-09-08,4205.94,4206.51,3977.47,3978.41,1642117536
2000-09-15,3961.16,4008.46,3794.29,3835.23,2053470016
2000-09-22,3838.63,3913.87,3614.66,3803.76,2225940000
2000-09-29,3852.53,3868.11,3622.66,3672.82,2392070016
2000-10-06,3714.48,3714.48,3314.91,3361.01,2407760032
2000-10-13,3352.15,3383.4,3054.55,3316.77,2463014976
2000-10-20,3315.48,3535.11,3026.11,3483.14,2690067584
2000-10-27,3483.38,3526.71,3081.36,3278.36,2499444960
2000-11-03,3243.88,3468.59,3149.24,3451.58,2496340000
2000-11-10,3469.35,3480.01,3028.92,3028.99,2177335008
2000-11-17,2956.09,3208.95,2859.39,3027.19,2206034976
2000-11-24,2943.11,2949.5,2754.14,2904.38,1533100000
2000-12-01,2979.93,2998.75,2523.04,2645.29,2660124992
2000-12-08,2662.56,2929.95,2567.18,2917.43,2682222528
2000-12-15,2936.6,3028.75,2596.03,2653.27,2737592480
2000-12-22,2698.72,2726.2,2288.16,2517.02,3040180000
2000-12-29,2518.29,2577.02,2436.19,2470.52,2071310048
2001-01-05,2474.16,2644.8,2251.71,2407.65,2455570016
2001-01-12,2388.72,2699.87,2299.65,2626.5,2914389984
2001-01-19,2631.49,2841.25,2576.95,2770.38,2537257472
2001-01-26,2759.1,2892.36,2686.65,2781.3,2862469952
2001-02-02,2757.29,2872.47,2660.11,2660.5,2451047488
2001-02-09,2639.65,2705.59,2455.87,2470.97,2307217536
2001-02-16,2458.65,2593.09,2388.4,2425.38,2366562496
2001-02-23,2439.57,2442.99,2156.29,2262.51,2151371264
2001-03-02,2287.88,2309.73,2071.03,2117.63,2582783712
2001-03-09,2142.75,2243.78,2041.78,2052.78,2252115264
2001-03-16,2001.68,2030.73,1877.69,1890.91,2614454304
2001-03-23,1901.45,1974.14,1794.21,1928.68,2676428704
2001-03-30,1957.71,1979.75,1794.3,1840.26,2498687264
2001-04-06,1835.22,1852.49,1619.58,1720.36,2729830784
2001-04-13,1739.66,1961.57,1710.76,1961.43,1983105536
2001-04-20,1934.7,2202.86,1869.34,2163.41,2945881984
2001-04-27,2118.36,2118.77,2000.83,2075.68,2406630272
2001-05-04,2113.11,2232.66,2088.61,2191.53,2651329760
2001-05-11,2194.04,2215.37,2097.36,2107.43,2148040000
2001-05-18,2105.36,2216.36,2052.41,2198.89,2259647232
2001-05-25,2201.45,2328.05,2198.14,2251.03,2424677824
2001-06-01,2239.92,2239.92,2077.98,2149.44,1733250496
2001-06-08,2164.7,2264.58,2136.63,2215.1,1998428224
2001-06-15,2205.41,2205.41,1992.39,2028.43,2127682240
2001-06-22,2035.34,2077.43,1973.7,2034.84,2378136000
2001-06-29,2054.34,2180.11,2017.34,2160.54,2207175776
2001-07-06,2156.76,2181.05,2001.82,2004.16,1280687744
2001-07-13,2010.97,2105.15,1934.67,2084.79,2064925024
2001-07-20,2078.53,2091.68,2003.95,2029.37,2111161760
2001-07-27,2043.84,2047.85,1939.28,2029.07,1985460512
2001-08-03,2034.11,2103.16,2009.94,2066.33,1914306464
2001-08-10,2047.86,2053.6,1915.99,1956.47,1724192480
2001-08-17,1963.04,1998.59,1862.76,1867.01,1688214496
2001-08-24,1866.29,1916.83,1817.7,1916.8,1742116000
2001-08-31,1912.7,1933.94,1777.11,1805.43,1761516224
2001-09-07,1802.29,1836.19,1676.42,1687.7,1765307232
2001-09-14,1673.78,1702.12,1669.94,1695.38,402255008
2001-09-21,1613.83,1629.1,1387.06,1423.19,2810830720
2001-09-28,1459.47,1528.33,1418.15,1498.8,2524019008
2001-10-05,1491.45,1641.56,1458.41,1605.3,2572436960
2001-10-12,1582.93,1707.43,1558.81,1703.4,2361790944
2001-10-19,1684.04,1754.01,1628.24,1671.31,2273034048
2001-10-26,1666.08,1792.87,1660.22,1768.96,2381155744
2001-11-02,1763.42,1767.97,1646.3,1745.73,2195076000
2001-11-09,1768.29,1888.39,1768.29,1828.48,2387238272
2001-11-16,1826.25,1922.45,1782.48,1898.58,2420118240
2001-11-23,1912.48,1934.7,1853.67,1903.2,1513351984
2001-11-30,1914.53,1965.09,1887.97,1930.58,2383481760
2001-12-07,1915.13,2065.69,1898.98,2021.26,2551470496
2001-12-14,2007.67,2036.54,1934.6,1953.17,2380334016
2001-12-21,1951.45,2010.91,1918.5,1945.83,2496478720
2001-12-28,1946.84,2002.72,1942.07,1987.26,1065388992
2002-01-04,1984.31,2077.89,1936.56,2059.38,1833791520
2002-01-11,2075.24,2098.88,2018.68,2022.46,2420949248
2002-01-18,2012.59,2018.42,1922.7,1930.34,2238580032
2002-01-25,1946.87,1959.93,1879.24,1937.7,1807605760
2002-02-01,1951.12,1959.05,1851.49,1911.24,2228169760
2002-02-08,1907.58,1907.58,1772.15,1818.88,2445889024
2002-02-15,1816.94,1877.74,1801.67,1805.2,2017033760
2002-02-22,1790.94,1791.01,1696.55,1724.54,1834137504
2002-03-01,1731.43,1802.89,1728.65,1802.74,2250442976
2002-03-08,1799.68,1935.09,1789.72,1929.67,2557879264
2002-03-15,1919.73,1946.23,1845.93,1868.3,2090572224
2002-03-22,1882.73,1893.26,1825.99,1851.39,1927434752
2002-03-29,1855.65,1875.57,1807.47,1858.25,2045644992
2002-04-05,1834.59,1865.37,1769.95,1770.03,2045202976
2002-04-12,1741.1,1795.62,1724.15,1756.19,2110351040
2002-04-19,1761.95,1832.01,1740.61,1796.83,2152160032
2002-04-26,1779.18,1779.18,1663.78,1663.89,2359565504
2002-05-03,1668.52,1697.03,1605.97,1613.03,2543907776
2002-05-10,1611.05,1696.35,1560.29,1600.85,2485828736
2002-05-17,1611.26,1759.33,1602.6,1741.39,2452891456
2002-05-24,1726.78,1726.89,1643.96,1661.49,1947014240
